age,live,death,deathrate
0,1000000,566,0.000566
1,999434,385.781524,0.000386
2,999048.2185,267.7449226,0.000268
3,998780.4736,195.7609728,0.000196
4,998584.7126,157.7763846,0.000158
5,998426.9362,140.778198,0.000141
6,998286.158,131.7737729,0.000132
7,998154.3842,128.7619156,0.000129
8,998025.6223,130.7413565,0.000131
9,997894.881,136.7115987,0.000137
10,997758.1694,145.6726927,0.000146
11,997612.4967,156.625162,0.000157
12,997455.8715,169.5674982,0.00017
13,997286.304,183.5006799,0.000184
14,997102.8033,196.4292523,0.000197
15,996906.3741,207.3565258,0.000208
16,996699.0175,218.2770848,0.000219
17,996480.7405,226.2011281,0.000227
18,996254.5393,234.1198167,0.000235
19,996020.4195,240.0409211,0.000241
20,995780.3786,246.9535339,0.000248
21,995533.4251,254.8565568,0.000256
22,995278.5685,262.7535421,0.000264
23,995015.815,271.6393175,0.000273
24,994744.1756,282.5073459,0.000284
25,994461.6683,295.3551155,0.000297
26,994166.3132,312.1682223,0.000314
27,993854.145,330.9534303,0.000333
28,993523.1915,351.7072098,0.000354
29,993171.4843,376.4119926,0.000379
30,992795.0723,404.0675944,0.000407
31,992391.0047,434.6672601,0.000438
32,991956.3375,468.2033913,0.000472
33,991488.1341,504.6674602,0.000509
34,990983.4666,544.0499232,0.000549
35,990439.4167,586.3401347,0.000592
36,989853.0766,632.5161159,0.000639
37,989220.5604,682.5621867,0.00069
38,988537.9983,737.4493467,0.000746
39,987800.5489,798.1428435,0.000808
40,987002.4061,866.5881125,0.000878
41,986135.818,941.7597061,0.000955
42,985194.0583,1025.587015,0.001041
43,984168.4712,1119.98372,0.001138
44,983048.4875,1223.895367,0.001245
45,981824.5921,1339.208744,0.001364
46,980485.3834,1466.806134,0.001496
47,979018.5773,1606.569485,0.001641
48,977412.0078,1757.38679,0.001798
49,975654.621,1919.112639,0.001967
50,973735.5084,2091.583872,0.002148
51,971643.9245,2273.646783,0.00234
52,969370.2777,2466.077986,0.002544
53,966904.1997,2667.688687,0.002759
54,964236.511,2878.245985,0.002985
55,961358.265,3096.534972,0.003221
56,958261.7301,3324.209942,0.003469
57,954937.5201,3562.871888,0.003731
58,951374.6482,3818.817838,0.004014
59,947555.8304,4096.283855,0.004323
60,943459.5465,4396.521487,0.00466
61,939063.0251,4727.243268,0.005034
62,934335.7818,5090.261339,0.005448
63,929245.5205,5490.91178,0.005909
64,923754.6087,5932.352097,0.006422
65,917822.2566,6413.741929,0.006988
66,911408.5146,6935.818796,0.00761
67,904472.6959,7499.887594,0.008292
68,896972.8083,8114.016024,0.009046
69,888858.7922,8797.035467,0.009897
70,880061.7568,9582.112408,0.010888
71,870479.6444,10515.3941,0.01208
72,859964.2503,11652.51559,0.01355
73,848311.7347,13052.97266,0.015387
74,835258.762,14772.38646,0.017686
75,820486.3755,16851.96967,0.020539
76,803634.4059,19300.88753,0.024017
77,784333.5183,22088.40054,0.028162
78,762245.1178,25137.31949,0.032978
79,737107.7983,28332.21244,0.038437
80,708775.5859,31534.84337,0.044492
81,677240.7425,34597.52057,0.051086
82,642643.2219,37384.48415,0.058173
83,605258.7378,39778.81476,0.065722
84,565479.923,41692.26924,0.073729
85,523787.6538,43067.39226,0.082223
86,480720.2615,43860.43594,0.091239
87,436859.8256,44079.1564,0.1009
88,392780.6692,43724.73687,0.111321
89,349055.9323,42797.04975,0.122608
90,306258.8826,41305.13549,0.13487
91,264953.7471,39269.32476,0.148212
92,225684.4223,36728.33425,0.162742
93,188956.088,33741.13282,0.178566
94,155214.9552,30390.00173,0.195793
95,124824.9535,26774.8277,0.214499
96,98050.1258,23007.46202,0.23465
97,75042.66378,19224.42961,0.25618
98,55818.23417,15574.68279,0.279025
99,40243.55138,12198.6253,0.30312
100,28044.92609,9209.981772,0.328401
101,18834.94432,6682.694748,0.354803
102,12152.24957,4645.331072,0.382261
103,7506.918496,3083.166495,0.41071
104,4423.752,1946.831323,0.440086
105,2476.920678,2476.920678,1.000000 
